"Disease ID","Entrez ID"
"D0406","4646"
"D0406","2707"
"D0406","9132"
"D0406","79977"
"D0406","2706"
"D0406","10804"
"D0406","117531"
"D0406","1834"
"D0406","1428"
"D0406","79784"
"D0406","1687"
"D0406","1690"
"D0406","4640"
"D0406","64699"
"D0406","64072"
"D0406","491"
"D0406","161497"
"D0406","10083"
"D0406","146183"
"D0406","65217"
"D0406","23562"
"D0406","53904"
"D0406","25861"
"D0406","51168"
"D0406","83715"
"D0406","5172"
"D0406","375611"
"D0406","259236"
"D0406","9381"
"D0406","182"
"D0406","57214"
"D0406","1678"
"D0406","5456"
"D0407","1565"
"D0410","5376"
"D0410","1959"
"D0410","57716"
"D0410","4359"
"D0411","15"
"D0412","9445"
"D0412","5663"
"D0412","4137"
"D0412","6622"
"D0412","6620"
"D0412","7124"
"D0413","30835"
"D0414","860"
"D0415","1822"
"D0416","1184"
"D0416","4952"
"D0417","1834"
"D0418","1834"
"D0420","7490"
"D0422","5155"
"D0424","2074"
"D0425","324"
"D0426","1718"
"D0427","6833"
"D0427","6927"
"D0427","387082"
"D0427","26191"
"D0427","3643"
"D0427","5468"
"D0427","2645"
"D0427","2642"
"D0427","2820"
"D0427","3172"
"D0427","8660"
"D0427","9479"
"D0427","4760"
"D0427","6928"
"D0427","3667"
"D0427","6514"
"D0427","6517"
"D0427","11132"
"D0427","5167"
"D0427","56729"
"D0427","256297"
"D0427","3767"
"D0427","208"
"D0427","3651"
"D0427","50943"
"D0427","1636"
"D0427","7422"
"D0430","1836"
"D0432","6899"
"D0433","1807"
"D0434","1832"
"D0435","29958"
"D0438","5447"
"D0439","1277"
"D0440","7150"
"D0440","7153"
"D0441","1621"
"D0443","190"
"D0444","55997"
"D0445","4548"
"D0446","2202"
"D0447","2166"
"D0449","57167"
"D0450","1244"
"D0451","1756"
"D0452","54808"
"D0453","213"
"D0454","8518"
"D0455","103"
"D0456","2623"
"D0457","2243"
"D0457","2244"
"D0457","2266"
"D0458","1736"
"D0458","7012"
"D0459","161582"
"D0459","9856"
"D0460","2147"
"D0461","3339"
"D0462","478"
"D0462","1861"
"D0462","2643"
"D0462","1813"
"D0462","8910"
"D0462","1816"
"D0463","7276"
"D0465","1294"
"D0466","1896"
"D0466","10804"
"D0466","128178"
"D0466","8517"
"D0466","4792"
"D0466","10913"
"D0466","5818"
"D0466","5317"
"D0467","2200"
"D0467","5080"
"D0468","8626"
"D0470","7148"
"D0470","11285"
"D0470","1277"
"D0470","1289"
"D0470","1290"
"D0470","1281"
"D0470","5351"
"D0470","1278"
"D0470","9509"
"D0471","89"
"D0472","2035"
"D0472","6708"
"D0472","6710"
"D0472","6521"
"D0473","2121"
"D0473","132884"
"D0474","2010"
"D0474","4000"
"D0475","5265"
"D0476","5274"
"D0476","1352"
"D0477","5745"
"D0479","999"
"D0479","4437"
"D0479","2956"
"D0479","5728"
"D0481","7099"
"D0482","8292"
"D0483","10002"
"D0484","5172"
"D0485","2027"
"D0487","5651"
"D0491","8288"
"D0492","11322"
"D0492","147138"
"D0493","1294"
"D0493","1308"
"D0493","3691"
"D0493","3909"
"D0493","3914"
"D0493","3918"
"D0493","3655"
"D0493","1832"
"D0493","3861"
"D0493","3852"
"D0493","5339"
"D0494","3858"
"D0494","3848"
"D0494","3857"
"D0495","3785"
"D0495","3786"
"D0495","2566"
"D0495","1181"
"D0495","8629"
"D0495","785"
"D0495","6323"
"D0495","4200"
"D0495","2554"
"D0495","7957"
"D0495","378884"
"D0495","79751"
"D0495","1137"
"D0495","1141"
"D0495","9211"
"D0495","1476"
"D0495","6853"
"D0496","1311"
"D0496","1836"
"D0496","1299"
"D0496","4148"
"D0496","1297"
"D0496","1298"
"D0497","3736"
"D0497","773"
"D0498","4978"
"D0500","4627"
"D0502","6335"
"D0504","3039"
"D0504","3043"
"D0505","3040"
"D0505","2057"
"D0507","4014"
"D0507","2707"
"D0507","127534"
"D0508","7048"
"D0508","6049"
"D0508","11178"
"D0508","51741"
"D0509","2099"
"D0510","23474"
"D0511","2130"
"D0512","3939"
"D0514","2131"
"D0514","2132"
"D0515","8322"
"D0515","4041"
"D0515","4693"
"D0516","5080"
"D0517","29881"
"D0518","2717"
"D0519","2489"
"D0520","3075"
"D0520","90411"
"D0520","2155"
"D0520","2159"
"D0520","2160"
"D0520","2161"
"D0520","2162"
"D0520","2165"
"D0522","4210"
"D0523","2175"
"D0523","2187"
"D0523","2176"
"D0523","675"
"D0523","2177"
"D0523","2178"
"D0523","2188"
"D0523","2189"
"D0523","83990"
"D0523","55120"
"D0523","57697"
"D0524","6514"
"D0526","427"
"D0527","3030"
"D0528","2539"
"D0530","4627"
"D0531","4613"
"D0532","2798"
"D0535","6690"
"D0537","6654"
"D0537","118429"
"D0538","55605"
"D0538","401"
"D0539","8200"
"D0540","3931"
"D0541","2328"
"D0542","3827"
"D0544","1806"
"D0545","7248"
"D0546","2488"
"D0547","6997"
"D0548","5080"
"D0549","5961"
"D0550","2332"
"D0551","80144"
"D0551","341640"
"D0552","7490"
"D0553","2395"
"D0554","2316"
"D0555","2203"
"D0556","229"
"D0557","3795"
"D0558","1296"
"D0559","2517"
"D0560","2528"
"D0561","2271"
"D0562","5959"
"D0562","6017"
"D0562","24"
"D0563","2539"
"D0564","18"
"D0565","2584"
"D0566","2582"
"D0567","2592"
"D0568","5476"
"D0570","2593"
"D0571","324"
"D0572","324"
"D0572","3659"
"D0572","999"
"D0572","3553"
"D0572","3557"
"D0572","843"
"D0572","2064"
"D0572","2263"
"D0572","1316"
"D0572","4595"
"D0574","3815"
"D0574","5156"
"D0575","2629"
"D0575","5660"
"D0576","64221"
"D0578","3778"
"D0578","6324"
"D0580","8915"
"D0580","3815"
"D0581","5621"
"D0582","8139"
"D0583","5155"
"D0584","2812"
"D0586","54658"
"D0587","6559"
"D0588","3674"
"D0588","3690"
"D0589","4653"
"D0589","10133"
"D0589","1545"
"D0589","4976"
"D0590","4436"
"D0590","1755"
"D0590","2064"
"D0590","9211"
"D0590","5468"
"D0594","6928"
"D0596","81"
"D0596","7225"
"D0596","23607"
"D0597","11146"
"D0598","56246"
"D0598","4158"
"D0599","6523"
"D0600","6513"
"D0601","7841"
"D0602","10841"
"D0603","2639"
"D0603","2108"
"D0603","2109"
"D0603","2110"
"D0604","2937"
"D0607","2710"
"D0608","275"
"D0608","2653"
"D0608","2731"
"D0608","27232"
"D0609","5261"
"D0609","5256"
"D0610","2538"
"D0610","2542"
"D0610","2548"
"D0610","3920"
"D0610","178"
"D0610","2632"
"D0610","2998"
"D0610","5836"
"D0610","5213"
"D0614","2720"
"D0614","2760"
"D0614","3073"
"D0615","203859"
"D0617","7173"
"D0617","7038"
"D0618","26128"
"D0619","50846"
"D0619","6736"
"D0622","617"
"D0623","3586"
"D0624","1493"
"D0624","2638"
"D0625","3930"
"D0626","2737"
"D0627","4644"
"D0627","5873"
"D0627","79083"
"D0628","2692"
"D0628","6777"
"D0630","3209"
"D0632","4942"
"D0633","27032"
"D0634","1075"
"D0638","3209"
"D0639","1371"
"D0640","80025"
"D0641","340024"
"D0643","8626"
"D0644","19"
"D0644","2099"
"D0646","7466"
"D0647","6331"
"D0648","3040"
"D0648","3039"
"D0648","3043"
"D0649","3030"
"D0650","7428"
"D0651","2324"
"D0651","3791"
"D0652","1991"
"D0653","1286"
"D0654","3162"
"D0656","773"
"D0657","3077"
"D0657","57817"
"D0657","148738"
"D0657","7036"
"D0657","30061"
"D0659","3040"
"D0660","203"
"D0660","6521"
"D0660","669"
"D0660","2539"
"D0660","2729"
"D0660","2821"
"D0660","2937"
"D0660","3098"
"D0660","5230"
"D0660","7167"
"D0661","3075"
"D0662","5551"
"D0662","201294"
"D0663","2157"
"D0663","2158"
"D0664","5265"
"D0664","2153"
"D0665","1356"
"D0666","6341"
"D0668","6927"
"D0668","1499"
"D0668","5157"
"D0668","8312"
"D0668","7157"
"D0668","3482"
"D0668","4233"
"D0668","841"
"D0669","2022"
"D0669","94"
"D0670","3257"
"D0670","84343"
"D0670","89781"
"D0670","11234"
"D0670","79803"
"D0670","8546"
"D0670","84062"
"D0675","55997"
"D0675","7547"
"D0676","2316"
"D0677","3073"
"D0679","3827"
"D0681","1908"
"D0681","2668"
"D0681","4902"
"D0681","5979"
"D0681","1910"
"D0681","1889"
"D0681","8929"
"D0682","3034"
"D0683","7157"
"D0684","6352"
"D0684","3586"
"D0684","1231"
"D0684","1234"
"D0686","3155"
"D0686","3158"
"D0688","3141"
"D0689","6496"
"D0689","6469"
"D0689","7050"
"D0689","7546"
"D0689","5727"
"D0696","6910"
"D0697","1491"
"D0698","875"
"D0698","4524"
"D0699","4552"
"D0701","6519"
"D0702","1736"
"D0703","3043"
"D0703","3047"
"D0703","3048"
"D0704","3251"
"D0705","3459"
"D0708","3064"
"D0708","5621"
"D0708","57338"
"D0708","6908"
"D0710","118429"
"D0712","3897"
"D0716","1071"
"D0717","5832"
"D0718","1589"
"D0719","5465"
"D0720","54658"
"D0721","55811"
"D0723","570"
"D0723","2052"
"D0723","9414"
"D0724","338"
"D0724","3949"
"D0724","255738"
"D0724","26119"
"D0724","2053"
"D0724","336"
"D0724","10842"
"D0724","3700"
"D0725","2741"
"D0725","2743"
"D0726","5156"
"D0727","2512"
"D0728","4598"
"D0731","2645"
"D0732","2746"
"D0733","6329"
"D0734","889"
"D0736","7391"
"D0737","344"
"D0737","348"
"D0738","10157"
"D0739","4143"
"D0739","191"
"D0740","10166"
"D0741","4041"
"D0742","189"
"D0742","9380"
"D0743","4221"
"D0743","79577"
"D0743","846"
"D0746","5092"
"D0746","5053"
"D0748","3630"
"D0749","5625"
"D0749","8659"
"D0750","5972"
"D0751","2147"
"D0752","3779"
"D0752","4306"
"D0752","185"
"D0752","5740"
"D0752","118"
"D0752","183"
"D0752","1889"
"D0752","2784"
"D0752","56729"
"D0752","3291"
"D0752","4846"
"D0752","1577"
"D0754","7253"
"D0755","7173"
"D0757","335"
"D0757","116519"
"D0757","149998"
"D0757","6101"
"D0758","1080"
"D0759","7369"
"D0761","1585"
"D0762","335"
"D0763","338"
"D0764","846"
"D0765","846"
"D0766","1356"
"D0767","2261"
"D0768","3040"
"D0769","5083"
"D0769","4487"
"D0770","2266"
"D0771","29760"
"D0772","6833"
"D0773","3972"
"D0774","84634"
"D0774","26012"
"D0774","2798"
"D0774","3973"
"D0775","3240"
"D0776","779"
"D0776","10008"
"D0776","6329"
"D0777","3938"
"D0777","4175"
"D0778","486"
"D0778","10686"
"D0778","140803"
"D0779","5741"
"D0779","9247"
"D0780","6905"
"D0781","2625"
"D0782","249"
"D0783","1184"
"D0783","5251"
"D0784","8074"
"D0785","10117"
"D0786","2147"
"D0787","1493"
"D0787","6528"
"D0787","50506"
"D0787","7849"
"D0787","7253"
"D0787","7038"
"D0787","7252"
"D0788","1001"
"D0788","147409"
"D0788","54345"
"D0788","1041"
"D0791","116085"
"D0792","2706"
"D0793","7051"
"D0793","242"
"D0793","59344"
"D0794","3849"
"D0794","348938"
"D0794","3858"
"D0794","26154"
"D0794","3848"
"D0794","7051"
"D0794","412"
"D0795","29851"
"D0797","51131"
"D0798","3501"
"D0799","2209"
"D0801","1789"
"D0802","916"
"D0802","917"
"D0802","57379"
"D0802","958"
"D0802","7374"
"D0802","959"
"D0803","50943"
"D0804","23495"
"D0805","4620"
"D0805","10020"
"D0805","7415"
"D0806","8517"
"D0807","170302"
"D0809","6658"
"D0810","3704"
"D0811","4914"
"D0812","2562"
"D0812","5621"
"D0814","5468"
"D0814","5506"
"D0814","5770"
"D0816","3559"
"D0817","1298"
"D0817","1299"
"D0819","3480"
"D0819","3481"
"D0820","2694"
"D0821","51135"
"D0822","2296"
"D0822","5308"
"D0823","2296"
"D0824","7018"
"D0824","2495"
"D0825","2688"
"D0826","3712"
"D0827","2260"
"D0827","2263"
"D0829","1678"
"D0830","3753"
"D0830","3784"
